OUTPUT:
Kong, ATT:220, DEF:180, HP:500, LVL:0
[41] Submarine, ATT:105, DEF:65, HP:78, LVL:10
[42] Cruiser, ATT:100, DEF:75, HP:74, LVL:8
[43] Infantry, ATT:45, DEF:0, HP:89, LVL:2
[44] Fighter, ATT:110, DEF:110, HP:68, LVL:9
[45] Cruiser, ATT:100, DEF:75, HP:75, LVL:6
[46] Cruiser, ATT:100, DEF:75, HP:85, LVL:8
[47] Fighter, ATT:110, DEF:110, HP:81, LVL:4
[48] Infantry, ATT:45, DEF:0, HP:66, LVL:7
[49] Bomber, ATT:120, DEF:100, HP:50, LVL:5
[50] Fighter, ATT:110, DEF:110, HP:97, LVL:9
[51] Submarine, ATT:105, DEF:65, HP:57, LVL:8
[52] Helicopter, ATT:55, DEF:40, HP:65, LVL:8
[53] Cruiser, ATT:100, DEF:75, HP:75, LVL:9
[54] Cruiser, ATT:100, DEF:75, HP:96, LVL:1
[55] Bomber, ATT:120, DEF:100, HP:68, LVL:3
[56] Tank, ATT:65, DEF:100, HP:66, LVL:8
[57] Submarine, ATT:105, DEF:65, HP:59, LVL:10
[58] Fighter, ATT:110, DEF:110, HP:87, LVL:8
[59] Bomber, ATT:120, DEF:100, HP:53, LVL:4
[60] Cruiser, ATT:100, DEF:75, HP:96, LVL:5
[61] Artillery, ATT:75, DEF:70, HP:65, LVL:1
[62] Artillery, ATT:75, DEF:70, HP:66, LVL:8
[63] Bomber, ATT:120, DEF:100, HP:98, LVL:4
[64] Fighter, ATT:110, DEF:110, HP:82, LVL:4
[65] Fighter, ATT:110, DEF:110, HP:96, LVL:9
[66] Helicopter, ATT:55, DEF:40, HP:83, LVL:5
[67] Cruiser, ATT:100, DEF:75, HP:74, LVL:2
[68] Helicopter, ATT:55, DEF:40, HP:54, LVL:0
[69] Submarine, ATT:105, DEF:65, HP:86, LVL:10
[70] Tank, ATT:65, DEF:100, HP:88, LVL:0
[71] Submarine, ATT:105, DEF:65, HP:62, LVL:0
[72] Cruiser, ATT:100, DEF:75, HP:71, LVL:4
[73] Bomber, ATT:120, DEF:100, HP:89, LVL:8
[74] Artillery, ATT:75, DEF:70, HP:82, LVL:0
[75] Bomber, ATT:120, DEF:100, HP:67, LVL:7
[76] Infantry, ATT:45, DEF:0, HP:92, LVL:4
[77] Helicopter, ATT:55, DEF:40, HP:54, LVL:0
[78] Bomber, ATT:120, DEF:100, HP:74, LVL:10
[79] Fighter, ATT:110, DEF:110, HP:82, LVL:7
[80] Cruiser, ATT:100, DEF:75, HP:69, LVL:7
[81] Submarine, ATT:105, DEF:65, HP:87, LVL:5
[82] Cruiser, ATT:100, DEF:75, HP:91, LVL:10
[83] Tank, ATT:65, DEF:100, HP:50, LVL:8
[84] Helicopter, ATT:55, DEF:40, HP:73, LVL:4
[85] Tank, ATT:65, DEF:100, HP:94, LVL:1
[86] Helicopter, ATT:55, DEF:40, HP:84, LVL:2
[87] Helicopter, ATT:55, DEF:40, HP:85, LVL:1
[88] Bomber, ATT:120, DEF:100, HP:63, LVL:9
[89] Cruiser, ATT:100, DEF:75, HP:58, LVL:5
[90] Fighter, ATT:110, DEF:110, HP:70, LVL:2
[91] Fighter, ATT:110, DEF:110, HP:95, LVL:0
[92] Fighter, ATT:110, DEF:110, HP:53, LVL:2
[93] Tank, ATT:65, DEF:100, HP:95, LVL:5
[94] Bomber, ATT:120, DEF:100, HP:99, LVL:7
[95] Cruiser, ATT:100, DEF:75, HP:89, LVL:7
[96] Artillery, ATT:75, DEF:70, HP:68, LVL:7
[97] Submarine, ATT:105, DEF:65, HP:74, LVL:3
[98] Cruiser, ATT:100, DEF:75, HP:60, LVL:4
[99] Tank, ATT:65, DEF:100, HP:95, LVL:0
[100] Artillery, ATT:75, DEF:70, HP:50, LVL:5
[101] Tank, ATT:65, DEF:100, HP:81, LVL:5
[102] Fighter, ATT:110, DEF:110, HP:57, LVL:5
[103] Bomber, ATT:120, DEF:100, HP:51, LVL:10
[104] Submarine, ATT:105, DEF:65, HP:84, LVL:9
[105] Bomber, ATT:120, DEF:100, HP:90, LVL:7
[106] Cruiser, ATT:100, DEF:75, HP:61, LVL:6
[107] Helicopter, ATT:55, DEF:40, HP:74, LVL:2
[108] Cruiser, ATT:100, DEF:75, HP:78, LVL:5
[109] Cruiser, ATT:100, DEF:75, HP:77, LVL:6
[110] Infantry, ATT:45, DEF:0, HP:62, LVL:6
[111] Cruiser, ATT:100, DEF:75, HP:73, LVL:1
[112] Infantry, ATT:45, DEF:0, HP:83, LVL:8
[113] Bomber, ATT:120, DEF:100, HP:93, LVL:9
[114] Submarine, ATT:105, DEF:65, HP:73, LVL:3
[115] Infantry, ATT:45, DEF:0, HP:71, LVL:8
[116] Helicopter, ATT:55, DEF:40, HP:71, LVL:6
[117] Fighter, ATT:110, DEF:110, HP:65, LVL:5
[118] Tank, ATT:65, DEF:100, HP:65, LVL:7
[119] Artillery, ATT:75, DEF:70, HP:54, LVL:3
[120] Helicopter, ATT:55, DEF:40, HP:77, LVL:9
[121] Bomber, ATT:120, DEF:100, HP:80, LVL:8
[122] Artillery, ATT:75, DEF:70, HP:72, LVL:1
[123] Infantry, ATT:45, DEF:0, HP:95, LVL:1
[124] Fighter, ATT:110, DEF:110, HP:52, LVL:4
[125] Submarine, ATT:105, DEF:65, HP:71, LVL:2
[126] Fighter, ATT:110, DEF:110, HP:50, LVL:0
[127] Tank, ATT:65, DEF:100, HP:53, LVL:8
[128] Artillery, ATT:75, DEF:70, HP:50, LVL:9
[129] Submarine, ATT:105, DEF:65, HP:92, LVL:1
[130] Cruiser, ATT:100, DEF:75, HP:75, LVL:3
[131] Tank, ATT:65, DEF:100, HP:84, LVL:3
[132] Helicopter, ATT:55, DEF:40, HP:54, LVL:4
[133] Submarine, ATT:105, DEF:65, HP:89, LVL:4
[134] Artillery, ATT:75, DEF:70, HP:71, LVL:10
[135] Helicopter, ATT:55, DEF:40, HP:82, LVL:7
[136] Cruiser, ATT:100, DEF:75, HP:56, LVL:6
[137] Tank, ATT:65, DEF:100, HP:52, LVL:2
[138] Helicopter, ATT:55, DEF:40, HP:81, LVL:9
[139] Submarine, ATT:105, DEF:65, HP:98, LVL:0
[140] Artillery, ATT:75, DEF:70, HP:73, LVL:9
[141] Fighter, ATT:110, DEF:110, HP:70, LVL:10
[142] Artillery, ATT:75, DEF:70, HP:84, LVL:3
[143] Tank, ATT:65, DEF:100, HP:68, LVL:10
[144] Bomber, ATT:120, DEF:100, HP:74, LVL:5
[145] Infantry, ATT:45, DEF:0, HP:86, LVL:4
[146] Helicopter, ATT:55, DEF:40, HP:74, LVL:0
[147] Artillery, ATT:75, DEF:70, HP:68, LVL:4
[148] Bomber, ATT:120, DEF:100, HP:62, LVL:2
[149] Artillery, ATT:75, DEF:70, HP:60, LVL:9

Kong => 52 => [14] Bomber
[0] Submarine => 9 => Kong
[1] Helicopter => 13 => Kong
[2] Tank => 17 => Kong
[3] Artillery => 17 => Kong
[4] Tank => 21 => Kong
[5] Infantry => 12 => Kong
[6] Fighter => 16 => Kong
[7] Infantry => 9 => Kong
[8] Submarine => 29 => Kong
[9] Helicopter => 17 => Kong
[10] Helicopter => 17 => Kong
[11] Helicopter => 21 => Kong
[12] Helicopter => 11 => Kong
[13] Fighter => 18 => Kong
[15] Artillery => 11 => Kong
[16] Bomber => 13 => Kong
[17] Helicopter => 15 => Kong
[18] Tank => 15 => Kong
[19] Bomber => 19 => Kong
[20] Infantry => 20 => Kong
[21] Tank => 15 => Kong
[22] Artillery => 26 => Kong
[23] Cruiser => 26 => Kong
[24] Submarine => 29 => Kong
[25] Fighter => 26 => Kong
[26] Bomber => 34 => Kong
[27] Tank => 23 => Kong
[28] Helicopter => 27 => Kong

Kong, ATT:220, DEF:180, HP:-26, LVL:0
[0] Submarine, ATT:105, DEF:65, HP:63, LVL:0
[1] Helicopter, ATT:55, DEF:40, HP:53, LVL:7
[2] Tank, ATT:65, DEF:100, HP:68, LVL:4
[3] Artillery, ATT:75, DEF:70, HP:89, LVL:8
[4] Tank, ATT:65, DEF:100, HP:79, LVL:5
[5] Infantry, ATT:45, DEF:0, HP:67, LVL:7
[6] Fighter, ATT:110, DEF:110, HP:82, LVL:6
[7] Infantry, ATT:45, DEF:0, HP:59, LVL:4
[8] Submarine, ATT:105, DEF:65, HP:78, LVL:10
[9] Helicopter, ATT:55, DEF:40, HP:92, LVL:0
[10] Helicopter, ATT:55, DEF:40, HP:51, LVL:2
[11] Helicopter, ATT:55, DEF:40, HP:74, LVL:10
[12] Helicopter, ATT:55, DEF:40, HP:76, LVL:5
[13] Fighter, ATT:110, DEF:110, HP:75, LVL:9
[14] Bomber, ATT:120, DEF:100, HP:-2, LVL:5
[15] Artillery, ATT:75, DEF:70, HP:63, LVL:5
[16] Bomber, ATT:120, DEF:100, HP:69, LVL:1
[17] Helicopter, ATT:55, DEF:40, HP:74, LVL:10
[18] Tank, ATT:65, DEF:100, HP:92, LVL:3
[19] Bomber, ATT:120, DEF:100, HP:66, LVL:7
[20] Infantry, ATT:45, DEF:0, HP:50, LVL:2
[21] Tank, ATT:65, DEF:100, HP:74, LVL:8
[22] Artillery, ATT:75, DEF:70, HP:59, LVL:9
[23] Cruiser, ATT:100, DEF:75, HP:50, LVL:9
[24] Submarine, ATT:105, DEF:65, HP:92, LVL:4
[25] Fighter, ATT:110, DEF:110, HP:69, LVL:7
[26] Bomber, ATT:120, DEF:100, HP:52, LVL:9
[27] Tank, ATT:65, DEF:100, HP:77, LVL:5
[28] Helicopter, ATT:55, DEF:40, HP:63, LVL:7
[29] Cruiser, ATT:100, DEF:75, HP:75, LVL:0
[30] Bomber, ATT:120, DEF:100, HP:81, LVL:10
[31] Infantry, ATT:45, DEF:0, HP:59, LVL:10
[32] Submarine, ATT:105, DEF:65, HP:59, LVL:2
[33] Submarine, ATT:105, DEF:65, HP:79, LVL:10
[34] Fighter, ATT:110, DEF:110, HP:68, LVL:4
[35] Submarine, ATT:105, DEF:65, HP:55, LVL:6
[36] Helicopter, ATT:55, DEF:40, HP:75, LVL:6
[37] Submarine, ATT:105, DEF:65, HP:81, LVL:6
[38] Cruiser, ATT:100, DEF:75, HP:59, LVL:2
[39] Bomber, ATT:120, DEF:100, HP:97, LVL:0
[40] Artillery, ATT:75, DEF:70, HP:78, LVL:8
[41] Submarine, ATT:105, DEF:65, HP:78, LVL:10
[42] Cruiser, ATT:100, DEF:75, HP:74, LVL:8
[43] Infantry, ATT:45, DEF:0, HP:89, LVL:2
[44] Fighter, ATT:110, DEF:110, HP:68, LVL:9
[45] Cruiser, ATT:100, DEF:75, HP:75, LVL:6
[46] Cruiser, ATT:100, DEF:75, HP:85, LVL:8
[47] Fighter, ATT:110, DEF:110, HP:81, LVL:4
[48] Infantry, ATT:45, DEF:0, HP:66, LVL:7
[49] Bomber, ATT:120, DEF:100, HP:50, LVL:5
[50] Fighter, ATT:110, DEF:110, HP:97, LVL:9
[51] Submarine, ATT:105, DEF:65, HP:57, LVL:8
[52] Helicopter, ATT:55, DEF:40, HP:65, LVL:8
[53] Cruiser, ATT:100, DEF:75, HP:75, LVL:9
[54] Cruiser, ATT:100, DEF:75, HP:96, LVL:1
[55] Bomber, ATT:120, DEF:100, HP:68, LVL:3
[56] Tank, ATT:65, DEF:100, HP:66, LVL:8
[57] Submarine, ATT:105, DEF:65, HP:59, LVL:10
[58] Fighter, ATT:110, DEF:110, HP:87, LVL:8
[59] Bomber, ATT:120, DEF:100, HP:53, LVL:4
[60] Cruiser, ATT:100, DEF:75, HP:96, LVL:5
[61] Artillery, ATT:75, DEF:70, HP:65, LVL:1
[62] Artillery, ATT:75, DEF:70, HP:66, LVL:8
[63] Bomber, ATT:120, DEF:100, HP:98, LVL:4
[64] Fighter, ATT:110, DEF:110, HP:82, LVL:4
[65] Fighter, ATT:110, DEF:110, HP:96, LVL:9
[66] Helicopter, ATT:55, DEF:40, HP:83, LVL:5
[67] Cruiser, ATT:100, DEF:75, HP:74, LVL:2
[68] Helicopter, ATT:55, DEF:40, HP:54, LVL:0
[69] Submarine, ATT:105, DEF:65, HP:86, LVL:10
[70] Tank, ATT:65, DEF:100, HP:88, LVL:0
[71] Submarine, ATT:105, DEF:65, HP:62, LVL:0
[72] Cruiser, ATT:100, DEF:75, HP:71, LVL:4
[73] Bomber, ATT:120, DEF:100, HP:89, LVL:8
[74] Artillery, ATT:75, DEF:70, HP:82, LVL:0
[75] Bomber, ATT:120, DEF:100, HP:67, LVL:7
[76] Infantry, ATT:45, DEF:0, HP:92, LVL:4
[77] Helicopter, ATT:55, DEF:40, HP:54, LVL:0
[78] Bomber, ATT:120, DEF:100, HP:74, LVL:10
[79] Fighter, ATT:110, DEF:110, HP:82, LVL:7
[80] Cruiser, ATT:100, DEF:75, HP:69, LVL:7
[81] Submarine, ATT:105, DEF:65, HP:87, LVL:5
[82] Cruiser, ATT:100, DEF:75, HP:91, LVL:10
[83] Tank, ATT:65, DEF:100, HP:50, LVL:8
[84] Helicopter, ATT:55, DEF:40, HP:73, LVL:4
[85] Tank, ATT:65, DEF:100, HP:94, LVL:1
[86] Helicopter, ATT:55, DEF:40, HP:84, LVL:2
[87] Helicopter, ATT:55, DEF:40, HP:85, LVL:1
[88] Bomber, ATT:120, DEF:100, HP:63, LVL:9
[89] Cruiser, ATT:100, DEF:75, HP:58, LVL:5
[90] Fighter, ATT:110, DEF:110, HP:70, LVL:2
[91] Fighter, ATT:110, DEF:110, HP:95, LVL:0
[92] Fighter, ATT:110, DEF:110, HP:53, LVL:2
[93] Tank, ATT:65, DEF:100, HP:95, LVL:5
[94] Bomber, ATT:120, DEF:100, HP:99, LVL:7
[95] Cruiser, ATT:100, DEF:75, HP:89, LVL:7
[96] Artillery, ATT:75, DEF:70, HP:68, LVL:7
[97] Submarine, ATT:105, DEF:65, HP:74, LVL:3
[98] Cruiser, ATT:100, DEF:75, HP:60, LVL:4
[99] Tank, ATT:65, DEF:100, HP:95, LVL:0
[100] Artillery, ATT:75, DEF:70, HP:50, LVL:5
[101] Tank, ATT:65, DEF:100, HP:81, LVL:5
[102] Fighter, ATT:110, DEF:110, HP:57, LVL:5
[103] Bomber, ATT:120, DEF:100, HP:51, LVL:10
[104] Submarine, ATT:105, DEF:65, HP:84, LVL:9
[105] Bomber, ATT:120, DEF:100, HP:90, LVL:7
[106] Cruiser, ATT:100, DEF:75, HP:61, LVL:6
[107] Helicopter, ATT:55, DEF:40, HP:74, LVL:2
[108] Cruiser, ATT:100, DEF:75, HP:78, LVL:5
[109] Cruiser, ATT:100, DEF:75, HP:77, LVL:6
[110] Infantry, ATT:45, DEF:0, HP:62, LVL:6
[111] Cruiser, ATT:100, DEF:75, HP:73, LVL:1
[112] Infantry, ATT:45, DEF:0, HP:83, LVL:8
[113] Bomber, ATT:120, DEF:100, HP:93, LVL:9
[114] Submarine, ATT:105, DEF:65, HP:73, LVL:3
[115] Infantry, ATT:45, DEF:0, HP:71, LVL:8
[116] Helicopter, ATT:55, DEF:40, HP:71, LVL:6
[117] Fighter, ATT:110, DEF:110, HP:65, LVL:5
[118] Tank, ATT:65, DEF:100, HP:65, LVL:7
[119] Artillery, ATT:75, DEF:70, HP:54, LVL:3
[120] Helicopter, ATT:55, DEF:40, HP:77, LVL:9
[121] Bomber, ATT:120, DEF:100, HP:80, LVL:8
[122] Artillery, ATT:75, DEF:70, HP:72, LVL:1
[123] Infantry, ATT:45, DEF:0, HP:95, LVL:1
[124] Fighter, ATT:110, DEF:110, HP:52, LVL:4
[125] Submarine, ATT:105, DEF:65, HP:71, LVL:2
[126] Fighter, ATT:110, DEF:110, HP:50, LVL:0
[127] Tank, ATT:65, DEF:100, HP:53, LVL:8
[128] Artillery, ATT:75, DEF:70, HP:50, LVL:9
[129] Submarine, ATT:105, DEF:65, HP:92, LVL:1
[130] Cruiser, ATT:100, DEF:75, HP:75, LVL:3
[131] Tank, ATT:65, DEF:100, HP:84, LVL:3
[132] Helicopter, ATT:55, DEF:40, HP:54, LVL:4
[133] Submarine, ATT:105, DEF:65, HP:89, LVL:4
[134] Artillery, ATT:75, DEF:70, HP:71, LVL:10
[135] Helicopter, ATT:55, DEF:40, HP:82, LVL:7
[136] Cruiser, ATT:100, DEF:75, HP:56, LVL:6
[137] Tank, ATT:65, DEF:100, HP:52, LVL:2
[138] Helicopter, ATT:55, DEF:40, HP:81, LVL:9
[139] Submarine, ATT:105, DEF:65, HP:98, LVL:0
[140] Artillery, ATT:75, DEF:70, HP:73, LVL:9
[141] Fighter, ATT:110, DEF:110, HP:70, LVL:10
[142] Artillery, ATT:75, DEF:70, HP:84, LVL:3
[143] Tank, ATT:65, DEF:100, HP:68, LVL:10
[144] Bomber, ATT:120, DEF:100, HP:74, LVL:5
[145] Infantry, ATT:45, DEF:0, HP:86, LVL:4
[146] Helicopter, ATT:55, DEF:40, HP:74, LVL:0
[147] Artillery, ATT:75, DEF:70, HP:68, LVL:4
[148] Bomber, ATT:120, DEF:100, HP:62, LVL:2
[149] Artillery, ATT:75, DEF:70, HP:60, LVL:9

Winner: Enemy
Total monster DMG: 52
Total enemies DMG: 526
--------------------------------------------------
EXPECTED:
Kong, ATT:220, DEF:180, HP:500, LVL:0
[0] Submarine, ATT:105, DEF:65, HP:63, LVL:0
[1] Helicopter, ATT:55, DEF:40, HP:53, LVL:7
[2] Tank, ATT:65, DEF:100, HP:68, LVL:4
[3] Artillery, ATT:75, DEF:70, HP:89, LVL:8
[4] Tank, ATT:65, DEF:100, HP:79, LVL:5
[5] Infantry, ATT:45, DEF:0, HP:67, LVL:7
[6] Fighter, ATT:110, DEF:110, HP:82, LVL:6
[7] Infantry, ATT:45, DEF:0, HP:59, LVL:4
[8] Submarine, ATT:105, DEF:65, HP:78, LVL:10
[9] Helicopter, ATT:55, DEF:40, HP:92, LVL:0
[10] Helicopter, ATT:55, DEF:40, HP:51, LVL:2
[11] Helicopter, ATT:55, DEF:40, HP:74, LVL:10
[12] Helicopter, ATT:55, DEF:40, HP:76, LVL:5
[13] Fighter, ATT:110, DEF:110, HP:75, LVL:9
[14] Bomber, ATT:120, DEF:100, HP:50, LVL:5
[15] Artillery, ATT:75, DEF:70, HP:63, LVL:5
[16] Bomber, ATT:120, DEF:100, HP:69, LVL:1
[17] Helicopter, ATT:55, DEF:40, HP:74, LVL:10
[18] Tank, ATT:65, DEF:100, HP:92, LVL:3
[19] Bomber, ATT:120, DEF:100, HP:66, LVL:7
[20] Infantry, ATT:45, DEF:0, HP:50, LVL:2
[21] Tank, ATT:65, DEF:100, HP:74, LVL:8
[22] Artillery, ATT:75, DEF:70, HP:59, LVL:9
[23] Cruiser, ATT:100, DEF:75, HP:50, LVL:9
[24] Submarine, ATT:105, DEF:65, HP:92, LVL:4
[25] Fighter, ATT:110, DEF:110, HP:69, LVL:7
[26] Bomber, ATT:120, DEF:100, HP:52, LVL:9
[27] Tank, ATT:65, DEF:100, HP:77, LVL:5
[28] Helicopter, ATT:55, DEF:40, HP:63, LVL:7
[29] Cruiser, ATT:100, DEF:75, HP:75, LVL:0
[30] Bomber, ATT:120, DEF:100, HP:81, LVL:10
[31] Infantry, ATT:45, DEF:0, HP:59, LVL:10
[32] Submarine, ATT:105, DEF:65, HP:59, LVL:2
[33] Submarine, ATT:105, DEF:65, HP:79, LVL:10
[34] Fighter, ATT:110, DEF:110, HP:68, LVL:4
[35] Submarine, ATT:105, DEF:65, HP:55, LVL:6
[36] Helicopter, ATT:55, DEF:40, HP:75, LVL:6
[37] Submarine, ATT:105, DEF:65, HP:81, LVL:6
[38] Cruiser, ATT:100, DEF:75, HP:59, LVL:2
[39] Bomber, ATT:120, DEF:100, HP:97, LVL:0
[40] Artillery, ATT:75, DEF:70, HP:78, LVL:8
[41] Submarine, ATT:105, DEF:65, HP:78, LVL:10
[42] Cruiser, ATT:100, DEF:75, HP:74, LVL:8
[43] Infantry, ATT:45, DEF:0, HP:89, LVL:2
[44] Fighter, ATT:110, DEF:110, HP:68, LVL:9
[45] Cruiser, ATT:100, DEF:75, HP:75, LVL:6
[46] Cruiser, ATT:100, DEF:75, HP:85, LVL:8
[47] Fighter, ATT:110, DEF:110, HP:81, LVL:4
[48] Infantry, ATT:45, DEF:0, HP:66, LVL:7
[49] Bomber, ATT:120, DEF:100, HP:50, LVL:5
[50] Fighter, ATT:110, DEF:110, HP:97, LVL:9
[51] Submarine, ATT:105, DEF:65, HP:57, LVL:8
[52] Helicopter, ATT:55, DEF:40, HP:65, LVL:8
[53] Cruiser, ATT:100, DEF:75, HP:75, LVL:9
[54] Cruiser, ATT:100, DEF:75, HP:96, LVL:1
[55] Bomber, ATT:120, DEF:100, HP:68, LVL:3
[56] Tank, ATT:65, DEF:100, HP:66, LVL:8
[57] Submarine, ATT:105, DEF:65, HP:59, LVL:10
[58] Fighter, ATT:110, DEF:110, HP:87, LVL:8
[59] Bomber, ATT:120, DEF:100, HP:53, LVL:4
[60] Cruiser, ATT:100, DEF:75, HP:96, LVL:5
[61] Artillery, ATT:75, DEF:70, HP:65, LVL:1
[62] Artillery, ATT:75, DEF:70, HP:66, LVL:8
[63] Bomber, ATT:120, DEF:100, HP:98, LVL:4
[64] Fighter, ATT:110, DEF:110, HP:82, LVL:4
[65] Fighter, ATT:110, DEF:110, HP:96, LVL:9
[66] Helicopter, ATT:55, DEF:40, HP:83, LVL:5
[67] Cruiser, ATT:100, DEF:75, HP:74, LVL:2
[68] Helicopter, ATT:55, DEF:40, HP:54, LVL:0
[69] Submarine, ATT:105, DEF:65, HP:86, LVL:10
[70] Tank, ATT:65, DEF:100, HP:88, LVL:0
[71] Submarine, ATT:105, DEF:65, HP:62, LVL:0
[72] Cruiser, ATT:100, DEF:75, HP:71, LVL:4
[73] Bomber, ATT:120, DEF:100, HP:89, LVL:8
[74] Artillery, ATT:75, DEF:70, HP:82, LVL:0
[75] Bomber, ATT:120, DEF:100, HP:67, LVL:7
[76] Infantry, ATT:45, DEF:0, HP:92, LVL:4
[77] Helicopter, ATT:55, DEF:40, HP:54, LVL:0
[78] Bomber, ATT:120, DEF:100, HP:74, LVL:10
[79] Fighter, ATT:110, DEF:110, HP:82, LVL:7
[80] Cruiser, ATT:100, DEF:75, HP:69, LVL:7
[81] Submarine, ATT:105, DEF:65, HP:87, LVL:5
[82] Cruiser, ATT:100, DEF:75, HP:91, LVL:10
[83] Tank, ATT:65, DEF:100, HP:50, LVL:8
[84] Helicopter, ATT:55, DEF:40, HP:73, LVL:4
[85] Tank, ATT:65, DEF:100, HP:94, LVL:1
[86] Helicopter, ATT:55, DEF:40, HP:84, LVL:2
[87] Helicopter, ATT:55, DEF:40, HP:85, LVL:1
[88] Bomber, ATT:120, DEF:100, HP:63, LVL:9
[89] Cruiser, ATT:100, DEF:75, HP:58, LVL:5
[90] Fighter, ATT:110, DEF:110, HP:70, LVL:2
[91] Fighter, ATT:110, DEF:110, HP:95, LVL:0
[92] Fighter, ATT:110, DEF:110, HP:53, LVL:2
[93] Tank, ATT:65, DEF:100, HP:95, LVL:5
[94] Bomber, ATT:120, DEF:100, HP:99, LVL:7
[95] Cruiser, ATT:100, DEF:75, HP:89, LVL:7
[96] Artillery, ATT:75, DEF:70, HP:68, LVL:7
[97] Submarine, ATT:105, DEF:65, HP:74, LVL:3
[98] Cruiser, ATT:100, DEF:75, HP:60, LVL:4
[99] Tank, ATT:65, DEF:100, HP:95, LVL:0
[100] Artillery, ATT:75, DEF:70, HP:50, LVL:5
[101] Tank, ATT:65, DEF:100, HP:81, LVL:5
[102] Fighter, ATT:110, DEF:110, HP:57, LVL:5
[103] Bomber, ATT:120, DEF:100, HP:51, LVL:10
[104] Submarine, ATT:105, DEF:65, HP:84, LVL:9
[105] Bomber, ATT:120, DEF:100, HP:90, LVL:7
[106] Cruiser, ATT:100, DEF:75, HP:61, LVL:6
[107] Helicopter, ATT:55, DEF:40, HP:74, LVL:2
[108] Cruiser, ATT:100, DEF:75, HP:78, LVL:5
[109] Cruiser, ATT:100, DEF:75, HP:77, LVL:6
[110] Infantry, ATT:45, DEF:0, HP:62, LVL:6
[111] Cruiser, ATT:100, DEF:75, HP:73, LVL:1
[112] Infantry, ATT:45, DEF:0, HP:83, LVL:8
[113] Bomber, ATT:120, DEF:100, HP:93, LVL:9
[114] Submarine, ATT:105, DEF:65, HP:73, LVL:3
[115] Infantry, ATT:45, DEF:0, HP:71, LVL:8
[116] Helicopter, ATT:55, DEF:40, HP:71, LVL:6
[117] Fighter, ATT:110, DEF:110, HP:65, LVL:5
[118] Tank, ATT:65, DEF:100, HP:65, LVL:7
[119] Artillery, ATT:75, DEF:70, HP:54, LVL:3
[120] Helicopter, ATT:55, DEF:40, HP:77, LVL:9
[121] Bomber, ATT:120, DEF:100, HP:80, LVL:8
[122] Artillery, ATT:75, DEF:70, HP:72, LVL:1
[123] Infantry, ATT:45, DEF:0, HP:95, LVL:1
[124] Fighter, ATT:110, DEF:110, HP:52, LVL:4
[125] Submarine, ATT:105, DEF:65, HP:71, LVL:2
[126] Fighter, ATT:110, DEF:110, HP:50, LVL:0
[127] Tank, ATT:65, DEF:100, HP:53, LVL:8
