OUTPUT:

--------------------------------------------------
EXPECTED:
Godzilla, ATT:200, DEF:220, HP:500, LVL:0
[4] SantaClaus, ATT:30, DEF:20, HP:-26, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:89, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:78, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:61, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:69, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Godzilla => 106 => [7] Pikachu
[0] LacoMelisko => 11 => Godzilla
[1] LacoMelisko => 9 => Godzilla
[3] HomerSimpson => 9 => Godzilla
[5] LadyGaga => 7 => Godzilla
[6] ForrestGump => 11 => Godzilla
[8] LacoMelisko => 7 => Godzilla

Godzilla, ATT:200, DEF:220, HP:237, LVL:4
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:87, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:78, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:-26, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:89, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:78, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:-45, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:69, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Godzilla => 113 => [8] LacoMelisko
[0] LacoMelisko => 13 => Godzilla
[1] LacoMelisko => 8 => Godzilla
[3] HomerSimpson => 14 => Godzilla
[5] LadyGaga => 9 => Godzilla
[6] ForrestGump => 8 => Godzilla

Godzilla, ATT:200, DEF:220, HP:185, LVL:5
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:87, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:78, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:-26, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:89, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:78, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:-45, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:-44, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Godzilla => 79 => [3] HomerSimpson
[0] LacoMelisko => 11 => Godzilla
[1] LacoMelisko => 9 => Godzilla
[5] LadyGaga => 7 => Godzilla
[6] ForrestGump => 13 => Godzilla

Godzilla, ATT:200, DEF:220, HP:145, LVL:6
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:87, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:-1, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:-26, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:89, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:78, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:-45, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:-44, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Godzilla => 51 => [6] ForrestGump
[0] LacoMelisko => 8 => Godzilla
[1] LacoMelisko => 8 => Godzilla
[5] LadyGaga => 9 => Godzilla
[6] ForrestGump => 8 => Godzilla

Godzilla, ATT:200, DEF:220, HP:112, LVL:7
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:87, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:-1, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:-26, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:89, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:27, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:-45, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:-44, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Godzilla => 94 => [6] ForrestGump
[0] LacoMelisko => 11 => Godzilla
[1] LacoMelisko => 9 => Godzilla
[5] LadyGaga => 11 => Godzilla

Godzilla, ATT:200, DEF:220, HP:81, LVL:8
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:87, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:-1, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:-26, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:89, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:-67, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:-45, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:-44, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Godzilla => 68 => [1] LacoMelisko
[0] LacoMelisko => 10 => Godzilla
[1] LacoMelisko => 6 => Godzilla
[5] LadyGaga => 9 => Godzilla

Godzilla, ATT:200, DEF:220, HP:56, LVL:9
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:19, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:-1, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:-26, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:89, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:-67, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:-45, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:-44, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Godzilla => 114 => [1] LacoMelisko
[0] LacoMelisko => 9 => Godzilla
[5] LadyGaga => 10 => Godzilla

Godzilla, ATT:200, DEF:220, HP:37, LVL:10
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:-95, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:-1, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:-26, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:89, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:-67, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:-45, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:-44, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Godzilla => 70 => [5] LadyGaga
[0] LacoMelisko => 9 => Godzilla
[5] LadyGaga => 8 => Godzilla

Godzilla, ATT:200, DEF:220, HP:20, LVL:10
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:-95, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:-1, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:-26, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:19, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:-67, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:-45, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:-44, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Godzilla => 113 => [5] LadyGaga
[0] LacoMelisko => 11 => Godzilla

Godzilla, ATT:200, DEF:220, HP:9, LVL:10
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:-95, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:-1, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:-26, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:-94, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:-67, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:-45, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:-44, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Godzilla => 79 => [0] LacoMelisko
[0] LacoMelisko => 8 => Godzilla

Godzilla, ATT:200, DEF:220, HP:1, LVL:10
[0] LacoMelisko, ATT:5, DEF:5, HP:13, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:-95, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:-1, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:-26, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:-94, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:-67, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:-45, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:-44, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Godzilla => 105 => [0] LacoMelisko

Godzilla, ATT:200, DEF:220, HP:1, LVL:10
[0] LacoMelisko, ATT:5, DEF:5, HP:-92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:-95, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:-1, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:-26, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:-94, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:-67, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:-45, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:-44, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Winner: Godzilla
Total monster DMG: 1297
Total enemies DMG: 499
