OUTPUT:
Kong, ATT:220, DEF:180, HP:500, LVL:0
[4] Helicopter, ATT:55, DEF:40, HP:89, LVL:6
[5] Fighter, ATT:110, DEF:110, HP:0, LVL:9
[6] Helicopter, ATT:55, DEF:40, HP:85, LVL:3
[7] Tank, ATT:65, DEF:100, HP:-15, LVL:5

Kong => 105 => [6] Helicopter
[0] Helicopter => 10 => Kong
[2] Tank => 11 => Kong
[3] Tank => 16 => Kong
[4] Helicopter => 11 => Kong

Kong, ATT:220, DEF:180, HP:234, LVL:4
[0] Helicopter, ATT:55, DEF:40, HP:87, LVL:5
[1] Artillery, ATT:75, DEF:70, HP:-17, LVL:2
[2] Tank, ATT:65, DEF:100, HP:98, LVL:1
[3] Tank, ATT:65, DEF:100, HP:96, LVL:7
[4] Helicopter, ATT:55, DEF:40, HP:89, LVL:6
[5] Fighter, ATT:110, DEF:110, HP:0, LVL:9
[6] Helicopter, ATT:55, DEF:40, HP:-20, LVL:3
[7] Tank, ATT:65, DEF:100, HP:-15, LVL:5

Kong => 87 => [0] Helicopter
[2] Tank => 11 => Kong
[3] Tank => 16 => Kong
[4] Helicopter => 15 => Kong

Kong, ATT:220, DEF:180, HP:192, LVL:5
[0] Helicopter, ATT:55, DEF:40, HP:0, LVL:5
[1] Artillery, ATT:75, DEF:70, HP:-17, LVL:2
[2] Tank, ATT:65, DEF:100, HP:98, LVL:1
[3] Tank, ATT:65, DEF:100, HP:96, LVL:7
[4] Helicopter, ATT:55, DEF:40, HP:89, LVL:6
[5] Fighter, ATT:110, DEF:110, HP:0, LVL:9
[6] Helicopter, ATT:55, DEF:40, HP:-20, LVL:3
[7] Tank, ATT:65, DEF:100, HP:-15, LVL:5

Kong => 49 => [4] Helicopter
[2] Tank => 12 => Kong
[3] Tank => 15 => Kong
[4] Helicopter => 13 => Kong

Kong, ATT:220, DEF:180, HP:152, LVL:6
[0] Helicopter, ATT:55, DEF:40, HP:0, LVL:5
[1] Artillery, ATT:75, DEF:70, HP:-17, LVL:2
[2] Tank, ATT:65, DEF:100, HP:98, LVL:1
[3] Tank, ATT:65, DEF:100, HP:96, LVL:7
[4] Helicopter, ATT:55, DEF:40, HP:40, LVL:6
[5] Fighter, ATT:110, DEF:110, HP:0, LVL:9
[6] Helicopter, ATT:55, DEF:40, HP:-20, LVL:3
[7] Tank, ATT:65, DEF:100, HP:-15, LVL:5

Kong => 89 => [4] Helicopter
[2] Tank => 14 => Kong
[3] Tank => 16 => Kong

Kong, ATT:220, DEF:180, HP:122, LVL:7
[0] Helicopter, ATT:55, DEF:40, HP:0, LVL:5
[1] Artillery, ATT:75, DEF:70, HP:-17, LVL:2
[2] Tank, ATT:65, DEF:100, HP:98, LVL:1
[3] Tank, ATT:65, DEF:100, HP:96, LVL:7
[4] Helicopter, ATT:55, DEF:40, HP:-49, LVL:6
[5] Fighter, ATT:110, DEF:110, HP:0, LVL:9
[6] Helicopter, ATT:55, DEF:40, HP:-20, LVL:3
[7] Tank, ATT:65, DEF:100, HP:-15, LVL:5

Kong => 41 => [3] Tank
[2] Tank => 14 => Kong
[3] Tank => 14 => Kong

Kong, ATT:220, DEF:180, HP:94, LVL:8
[0] Helicopter, ATT:55, DEF:40, HP:0, LVL:5
[1] Artillery, ATT:75, DEF:70, HP:-17, LVL:2
[2] Tank, ATT:65, DEF:100, HP:98, LVL:1
[3] Tank, ATT:65, DEF:100, HP:55, LVL:7
[4] Helicopter, ATT:55, DEF:40, HP:-49, LVL:6
[5] Fighter, ATT:110, DEF:110, HP:0, LVL:9
[6] Helicopter, ATT:55, DEF:40, HP:-20, LVL:3
[7] Tank, ATT:65, DEF:100, HP:-15, LVL:5

Kong => 48 => [3] Tank
[2] Tank => 16 => Kong
[3] Tank => 14 => Kong

Kong, ATT:220, DEF:180, HP:64, LVL:9
[0] Helicopter, ATT:55, DEF:40, HP:0, LVL:5
[1] Artillery, ATT:75, DEF:70, HP:-17, LVL:2
[2] Tank, ATT:65, DEF:100, HP:98, LVL:1
[3] Tank, ATT:65, DEF:100, HP:7, LVL:7
[4] Helicopter, ATT:55, DEF:40, HP:-49, LVL:6
[5] Fighter, ATT:110, DEF:110, HP:0, LVL:9
[6] Helicopter, ATT:55, DEF:40, HP:-20, LVL:3
[7] Tank, ATT:65, DEF:100, HP:-15, LVL:5

Kong => 53 => [3] Tank
[2] Tank => 12 => Kong

Kong, ATT:220, DEF:180, HP:52, LVL:10
[0] Helicopter, ATT:55, DEF:40, HP:0, LVL:5
[1] Artillery, ATT:75, DEF:70, HP:-17, LVL:2
[2] Tank, ATT:65, DEF:100, HP:98, LVL:1
[3] Tank, ATT:65, DEF:100, HP:-46, LVL:7
[4] Helicopter, ATT:55, DEF:40, HP:-49, LVL:6
[5] Fighter, ATT:110, DEF:110, HP:0, LVL:9
[6] Helicopter, ATT:55, DEF:40, HP:-20, LVL:3
[7] Tank, ATT:65, DEF:100, HP:-15, LVL:5

Kong => 46 => [2] Tank
[2] Tank => 13 => Kong

Kong, ATT:220, DEF:180, HP:39, LVL:10
[0] Helicopter, ATT:55, DEF:40, HP:0, LVL:5
[1] Artillery, ATT:75, DEF:70, HP:-17, LVL:2
[2] Tank, ATT:65, DEF:100, HP:52, LVL:1
[3] Tank, ATT:65, DEF:100, HP:-46, LVL:7
[4] Helicopter, ATT:55, DEF:40, HP:-49, LVL:6
[5] Fighter, ATT:110, DEF:110, HP:0, LVL:9
[6] Helicopter, ATT:55, DEF:40, HP:-20, LVL:3
[7] Tank, ATT:65, DEF:100, HP:-15, LVL:5

Kong => 60 => [2] Tank

Kong, ATT:220, DEF:180, HP:39, LVL:10
[0] Helicopter, ATT:55, DEF:40, HP:0, LVL:5
[1] Artillery, ATT:75, DEF:70, HP:-17, LVL:2
[2] Tank, ATT:65, DEF:100, HP:-8, LVL:1
[3] Tank, ATT:65, DEF:100, HP:-46, LVL:7
[4] Helicopter, ATT:55, DEF:40, HP:-49, LVL:6
[5] Fighter, ATT:110, DEF:110, HP:0, LVL:9
[6] Helicopter, ATT:55, DEF:40, HP:-20, LVL:3
[7] Tank, ATT:65, DEF:100, HP:-15, LVL:5

Winner: Kong
Total monster DMG: 808
Total enemies DMG: 461
