OUTPUT:
Kong, ATT:220, DEF:180, HP:500, LVL:0
[4] Helicopter, ATT:55, DEF:40, HP:-65, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:-36, LVL:2

Kong => 47 => [2] Tank

Kong, ATT:220, DEF:180, HP:5, LVL:10
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:-27, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:-65, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:-36, LVL:2

Winner: Kong
Total monster DMG: 665
Total enemies DMG: 495
